CEP,FRETE_UNIDADE_PESO
58584-418,1.64
70467-194,0.76
61637-510,0.56
39967-731,1.03
23068-898,1.26
82888-429,1.33
59691-312,0.72
84486-226,1.95
64231-684,1.68
39353-695,1.96
42855-706,1.59
04772-314,1.83
37589-055,1.9
60992-545,0.82
37504-454,1.21
23356-769,0.99
26174-932,1.75
10539-060,0.71
20869-114,1.54
41026-343,0.62
17709-832,0.84
67630-843,0.82
08833-978,0.61
45990-914,1.67
31955-219,1.9
73412-269,1.46
21414-319,0.79
94147-426,1.13
19524-741,1.89
69390-407,1.15
94217-754,1.57
53507-085,0.94
40723-021,1.24
97038-708,1.04
70812-062,0.7
31036-982,1.72
86958-943,0.66
39031-982,0.74
83475-206,1.42
67499-697,1.65
68476-289,1.76
15549-354,0.89
34386-745,0.93
89310-069,1.83
48207-936,0.58
84261-669,1.1
87099-577,1.74
93712-820,0.72
94480-029,1.57
57758-181,0.91
88060-325,0.7
35617-140,1.0
49895-771,1.7
45693-111,1.33
36339-396,1.16
18029-060,1.07
06418-122,1.92
97698-124,0.72
78362-341,0.51
98349-506,0.95
25859-307,1.78
07482-636,0.94
56601-119,1.6
07610-658,0.95
53253-544,1.32
50132-146,1.53
20834-582,0.72
93399-200,1.86
43542-617,1.48
55641-834,1.12
74773-317,0.89
25231-049,1.13
58318-442,1.37
52964-565,1.25
68339-518,1.37
17064-894,1.35
27218-753,0.94
97548-004,1.57
40699-432,1.54
89202-798,1.22
03711-793,1.08
76412-346,1.46
78482-028,1.84
19191-687,1.17
01428-654,1.17
30986-298,1.09
29465-657,1.05
83698-435,1.52
44997-608,0.98
14430-594,1.28
03619-185,1.54
40195-842,0.74
63929-246,1.59
46548-355,0.56
83014-149,0.97
54535-544,1.07
14002-659,1.25
11568-350,1.36
32467-343,1.17
69854-646,0.55
82343-426,1.12
21770-068,1.68
80980-954,0.74
41964-303,0.87
73689-171,1.3
95510-069,1.83
31579-993,1.26
34159-308,0.95
44577-206,1.54
97121-403,1.0
81517-097,1.4
59729-764,1.15
85129-179,1.75
43333-368,1.41
25457-333,1.04
89759-667,1.31
68678-170,1.8
22690-676,1.88
40226-270,1.55
94244-721,1.95
53959-168,1.24
18367-565,0.54
64825-277,0.57
25160-103,1.41
68159-883,1.26
43226-469,0.99
16702-752,0.65
71851-875,1.14
99526-241,1.72
34281-802,1.89
86884-662,0.9
03901-677,1.33
48902-800,1.67
30292-341,0.56
56759-308,1.75
69098-592,1.58
99000-189,1.92
36976-749,1.85
70638-101,1.68
58007-663,0.96
15915-227,0.54
08830-861,1.8
93049-789,1.94
99490-380,1.53
68929-550,1.61
55673-956,0.73
37608-004,0.64
84473-433,1.55
28450-979,0.55
62037-066,1.51
84276-819,1.15
98803-809,0.86
55145-534,1.06
51031-618,1.41
28879-851,1.07
37016-377,0.72
33545-349,0.56
13369-866,1.77
03637-245,0.94
33959-081,1.55
17324-531,1.63
05644-351,0.85
98544-648,1.22
26147-035,0.97
19273-862,1.49
26764-280,1.43
63926-432,1.96
30680-884,0.58
90999-552,1.23
22634-600,1.96
45682-931,1.57
31202-666,1.36
01175-220,1.6
25831-421,1.21
15600-801,0.71
89151-228,1.71
61049-008,0.77
55223-141,1.14
40530-424,0.53
01849-630,0.99
41584-908,0.54
21798-376,1.32
97788-875,1.81
79027-070,0.59
69657-266,0.71
32349-206,0.65
19042-224,1.73
78235-316,1.91
80012-881,1.5
84764-547,1.17
80869-250,1.07
09925-665,1.86
60787-224,0.54
91718-919,0.72
05034-448,0.99
58809-436,1.02
01714-398,1.87
42236-501,1.68
95336-332,0.53
09037-148,1.92
75020-105,1.44
30447-371,0.78
62291-832,1.36
55888-107,1.18
12716-353,0.79
73031-025,1.54
89407-778,1.61
56219-474,1.2
99415-324,0.79
57777-128,1.42
51136-381,1.36
09502-480,1.47
41581-660,1.6
52085-599,1.98
22882-439,1.83
54500-794,1.24
40104-647,0.93
39323-670,1.31
60882-035,1.25
25893-642,1.07
08853-585,1.83
17573-400,0.91
85909-647,0.88
62413-705,1.72
04502-712,1.82
56685-707,0.69
69332-576,0.98
58775-049,1.41
00452-419,1.45
84492-270,1.56
62988-590,1.23
02226-291,1.75
21545-683,1.9
63136-307,1.12
65173-888,1.44
25508-568,1.06
38965-481,0.77
69653-537,1.78
22669-389,1.84
76242-950,0.67
69418-753,1.53
98902-181,1.67
72473-092,1.12
05993-974,1.04
83781-606,1.66
74964-984,1.72
69222-707,1.44
32950-474,1.4
80075-533,1.53
82838-860,1.41
41458-478,0.95
23366-099,1.35
49364-335,0.84
95646-171,1.41
78474-834,1.98
45947-109,1.98
49386-494,1.57
59363-810,0.94
08206-343,0.83
86509-894,1.84
47446-222,1.11
62686-708,0.78
76773-966,1.38
93251-687,1.36
28992-152,1.42
80323-577,1.64
23060-395,1.57
97699-539,1.73
30131-475,0.81
23839-996,1.88
48088-208,1.36
66927-677,0.97
14648-277,1.85
69896-306,0.51
03445-501,0.96
49286-378,1.5
98224-031,1.81
92005-214,1.76
20500-000,1.36
73753-828,1.09
21843-398,1.31
49006-205,1.19
54848-884,0.9
48934-983,1.97
93125-542,1.22
82676-280,0.87
78995-495,1.94
00976-955,1.93
07413-670,0.98
15442-157,1.16
46492-321,1.84
14017-538,1.22
07081-399,0.51
06716-965,0.91
51843-709,1.74
69884-294,0.54
37083-187,0.62
77218-462,0.9
84246-086,0.6
48188-487,1.35
